gene_id	Sample_id	Read_count
ENSMUSG00000026077.15	SRR1158593	25
ENSMUSG00000026077.15	SRR1158594	23
ENSMUSG00000026077.15	SRR1158595	4
ENSMUSG00000026077.15	SRR1158596	3
ENSMUSG00000026077.15	SRR1158597	37
ENSMUSG00000026077.15	SRR1158598	10
ENSMUSG00000026077.15	SRR1158599	1
ENSMUSG00000026077.15	SRR1158600	24
ENSMUSG00000026077.15	SRR1158569	387
ENSMUSG00000026077.15	SRR1158570	206
ENSMUSG00000026077.15	SRR1158571	1
ENSMUSG00000026077.15	SRR1158572	127
ENSMUSG00000026077.15	SRR1158573	177
ENSMUSG00000026077.15	SRR1158574	52
ENSMUSG00000026077.15	SRR1158575	20
ENSMUSG00000026077.15	SRR1158576	209
ENSMUSG00000026077.15	SRR1158577	146
ENSMUSG00000026077.15	SRR1158578	86
ENSMUSG00000026077.15	SRR1158579	1
ENSMUSG00000026077.15	SRR1158580	2
ENSMUSG00000026077.15	SRR1158581	158
ENSMUSG00000026077.15	SRR1158582	17
ENSMUSG00000026077.15	SRR1158583	1
ENSMUSG00000026077.15	SRR1158584	5
ENSMUSG00000055866.9	SRR1158593	56
ENSMUSG00000055866.9	SRR1158594	93
ENSMUSG00000055866.9	SRR1158595	447
ENSMUSG00000055866.9	SRR1158596	308
ENSMUSG00000055866.9	SRR1158597	110
ENSMUSG00000055866.9	SRR1158598	181
ENSMUSG00000055866.9	SRR1158599	517
ENSMUSG00000055866.9	SRR1158600	483
ENSMUSG00000055866.9	SRR1158569	439
ENSMUSG00000055866.9	SRR1158570	236
ENSMUSG00000055866.9	SRR1158571	952
ENSMUSG00000055866.9	SRR1158572	3283
ENSMUSG00000055866.9	SRR1158573	285
ENSMUSG00000055866.9	SRR1158574	260
ENSMUSG00000055866.9	SRR1158575	2211
ENSMUSG00000055866.9	SRR1158576	2194
ENSMUSG00000055866.9	SRR1158577	335
ENSMUSG00000055866.9	SRR1158578	269
ENSMUSG00000055866.9	SRR1158579	1404
ENSMUSG00000055866.9	SRR1158580	3351
ENSMUSG00000055866.9	SRR1158581	769
ENSMUSG00000055866.9	SRR1158582	507
ENSMUSG00000055866.9	SRR1158583	1146
ENSMUSG00000055866.9	SRR1158584	2384
ENSMUSG00000020038.10	SRR1158593	207
ENSMUSG00000020038.10	SRR1158594	178
ENSMUSG00000020038.10	SRR1158595	234
ENSMUSG00000020038.10	SRR1158596	250
ENSMUSG00000020038.10	SRR1158597	445
ENSMUSG00000020038.10	SRR1158598	200
ENSMUSG00000020038.10	SRR1158599	266
ENSMUSG00000020038.10	SRR1158600	512
ENSMUSG00000020038.10	SRR1158569	212
ENSMUSG00000020038.10	SRR1158570	48
ENSMUSG00000020038.10	SRR1158571	84
ENSMUSG00000020038.10	SRR1158572	400
ENSMUSG00000020038.10	SRR1158573	129
ENSMUSG00000020038.10	SRR1158574	21
ENSMUSG00000020038.10	SRR1158575	222
ENSMUSG00000020038.10	SRR1158576	492
ENSMUSG00000020038.10	SRR1158577	623
ENSMUSG00000020038.10	SRR1158578	213
ENSMUSG00000020038.10	SRR1158579	182
ENSMUSG00000020038.10	SRR1158580	950
ENSMUSG00000020038.10	SRR1158581	845
ENSMUSG00000020038.10	SRR1158582	125
ENSMUSG00000020038.10	SRR1158583	241
ENSMUSG00000020038.10	SRR1158584	719
ENSMUSG00000020893.17	SRR1158593	293
ENSMUSG00000020893.17	SRR1158594	294
ENSMUSG00000020893.17	SRR1158595	1212
ENSMUSG00000020893.17	SRR1158596	463
ENSMUSG00000020893.17	SRR1158597	400
ENSMUSG00000020893.17	SRR1158598	801
ENSMUSG00000020893.17	SRR1158599	1120
ENSMUSG00000020893.17	SRR1158600	848
ENSMUSG00000020893.17	SRR1158569	361
ENSMUSG00000020893.17	SRR1158570	291
ENSMUSG00000020893.17	SRR1158571	625
ENSMUSG00000020893.17	SRR1158572	922
ENSMUSG00000020893.17	SRR1158573	163
ENSMUSG00000020893.17	SRR1158574	350
ENSMUSG00000020893.17	SRR1158575	1435
ENSMUSG00000020893.17	SRR1158576	650
ENSMUSG00000020893.17	SRR1158577	265
ENSMUSG00000020893.17	SRR1158578	141
ENSMUSG00000020893.17	SRR1158579	1138
ENSMUSG00000020893.17	SRR1158580	767
ENSMUSG00000020893.17	SRR1158581	291
ENSMUSG00000020893.17	SRR1158582	618
ENSMUSG00000020893.17	SRR1158583	884
ENSMUSG00000020893.17	SRR1158584	465
ENSMUSG00000020889.11	SRR1158593	682
ENSMUSG00000020889.11	SRR1158594	2102
ENSMUSG00000020889.11	SRR1158595	798
ENSMUSG00000020889.11	SRR1158596	206
ENSMUSG00000020889.11	SRR1158597	1003
ENSMUSG00000020889.11	SRR1158598	1907
ENSMUSG00000020889.11	SRR1158599	796
ENSMUSG00000020889.11	SRR1158600	1872
ENSMUSG00000020889.11	SRR1158569	184
ENSMUSG00000020889.11	SRR1158570	1668
ENSMUSG00000020889.11	SRR1158571	715
ENSMUSG00000020889.11	SRR1158572	373
ENSMUSG00000020889.11	SRR1158573	58
ENSMUSG00000020889.11	SRR1158574	1105
ENSMUSG00000020889.11	SRR1158575	1323
ENSMUSG00000020889.11	SRR1158576	212
